model_name,feature_set_name,accuracy,macro_f1,subject_accuracy_mean,subject_accuracy_std,subject_macro_f1_mean,subject_macro_f1_std
LR,EDA-only,0.6637152777777777,0.46503523003566327,0.6642386688791354,0.10141627098730034,0.45312233588022194,0.14513815743193492
RF,ECG+EDA+TEMP,0.7473958333333334,0.48156836658450114,0.7463154432538593,0.10712445289259862,0.4476903684924552,0.13240196060121903
Boosting,ECG+EDA+TEMP,0.7272569444444444,0.5061302432550386,0.7287238023651778,0.08156263301000889,0.43825070526788823,0.13028518938307912
LR,ECG+EDA+TEMP,0.5439236111111111,0.46149882946736204,0.5343314571968634,0.18473355014944598,0.4365606023602898,0.1486862887569596
SVM,EDA-only,0.6190972222222222,0.4179109228532461,0.6231469180475137,0.22656525556198676,0.41581114039153666,0.1681091575245512
SVM,ECG+EDA+TEMP,0.5407986111111112,0.44524595190629007,0.5438440036864076,0.1764122557665793,0.40808000339811923,0.10839922584590021
RF,ECG-only,0.7027777777777777,0.4409355977435925,0.7119056387294141,0.10957774970019835,0.3968654352329838,0.10774140397488349
SVM,ECG-only,0.5342013888888889,0.4166613432660325,0.5280475649361465,0.1962555940177612,0.3816315286232378,0.1275754921781033
Boosting,ECG-only,0.7038194444444444,0.4357715194029686,0.7140606796352152,0.13198258237222737,0.3771814460861883,0.11130463763481052
RF,EDA-only,0.6588541666666666,0.35000660160874447,0.6653759312053372,0.13357446686421318,0.3709953981257536,0.10294930861762225
LR,ECG-only,0.48975694444444445,0.3964018650248568,0.4822621057929173,0.22127820460187023,0.35994376894308616,0.15152763826568594
Boosting,EDA-only,0.6855902777777778,0.3370825416678835,0.689820138935701,0.09948561905598338,0.35286115304343135,0.09134132182308662
RF,TEMP-only,0.5975694444444445,0.32201470110057734,0.6012670089863471,0.11476292454154705,0.3222357513997279,0.07947382385090614
Boosting,TEMP-only,0.6569444444444444,0.3165540258677682,0.6620163408060361,0.10328857142859821,0.31859254185411057,0.07557319430146718
LR,TEMP-only,0.3741319444444444,0.32871810497586273,0.3699526166615049,0.134582774143684,0.30055174105810245,0.09347840210488645
SVM,TEMP-only,0.3428819444444444,0.3071646936495299,0.33653713495578175,0.1901780337732085,0.27878110224758856,0.15189699596479558
