model_name,feature_set_name,accuracy,macro_f1,n_train_windows,n_test_windows
RF,ECG+EDA+TEMP,0.9373219373219374,0.9066860320770646,1404,351
Boosting,ECG+EDA+TEMP,0.9145299145299145,0.8650595188987795,1404,351
SVM,ECG+EDA+TEMP,0.7264957264957265,0.6873579097621293,1404,351
RF,EDA-only,0.7948717948717948,0.6347374847374847,1404,351
Boosting,EDA-only,0.7777777777777778,0.5943396617906421,1404,351
RF,ECG-only,0.7948717948717948,0.58970067568652,1404,351
Boosting,ECG-only,0.7977207977207977,0.5823570284203515,1404,351
RF,TEMP-only,0.7663817663817664,0.5548800092858593,1404,351
LR,ECG+EDA+TEMP,0.5868945868945868,0.5366413795962359,1404,351
Boosting,TEMP-only,0.7806267806267806,0.534157952669235,1404,351
SVM,ECG-only,0.5982905982905983,0.5239261534960459,1404,351
SVM,EDA-only,0.6809116809116809,0.4600765148710355,1404,351
LR,EDA-only,0.6723646723646723,0.44411405160736117,1404,351
LR,ECG-only,0.5185185185185185,0.4416795446070812,1404,351
SVM,TEMP-only,0.42165242165242167,0.39931800938429163,1404,351
LR,TEMP-only,0.33618233618233617,0.29860094122702174,1404,351
