feature,importance
hr_mean,0.14583920435075629
eda_scl_mean,0.14458166353059204
rr_mean_ms,0.11296191613006
eda_phasic_std,0.09150590147047029
temp_min,0.08118701328898874
temp_mean,0.07930648089573046
temp_max,0.07674953973956725
pnn50,0.04619688196137873
temp_slope_per_min,0.04088377893941532
temp_std,0.035192985917124636
rmssd_ms,0.03496059150140657
sdnn_ms,0.029196691137334762
eda_scr_amplitude_mean,0.027550321628873164
eda_scr_count,0.018247390850867518
eda_scr_density,0.017771808187142506
ecg_quality_score,0.016386680137586377
temperature_quality_score,0.0014811503327054139
eda_quality_score,0.0
