window_config,model_name,feature_set_name,accuracy,macro_f1,subject_accuracy_mean,subject_accuracy_std,subject_macro_f1_mean,subject_macro_f1_std
60s_30s,Boosting,ECG+EDA+TEMP,0.7276166456494325,0.5262583823214528,0.7339180890428647,0.1334645595403909,0.476536300655516,0.15096554655457
60s_30s,RF,ECG+EDA+TEMP,0.7566204287515763,0.4961461756452293,0.7535589475889605,0.1304293043099039,0.4339853461258735,0.1511082648292062
60s_30s,LR,ECG+EDA+TEMP,0.544766708701135,0.4541383793153257,0.5204051649268885,0.2460833239209779,0.4161885979144165,0.2155373420340489
60s_30s,RF,EDA-only,0.7200504413619168,0.4062824280483763,0.730855078859486,0.0821562226769479,0.4113399230139973,0.1102102595747589
60s_30s,RF,ECG-only,0.7023959646910467,0.4618893904724923,0.7139377888177177,0.1245262563344033,0.395045170609654,0.1503410433321874
60s_30s,Boosting,ECG-only,0.6733921815889029,0.4683206514190849,0.6964593272079974,0.1771133897576046,0.3889167273614965,0.1690450641253578
60s_30s,SVM,ECG-only,0.5435056746532156,0.4379472083013049,0.5293940604106927,0.2331767960282131,0.3866060061729516,0.1492725979617939
60s_30s,SVM,ECG+EDA+TEMP,0.544766708701135,0.4266009521339446,0.5380905493499495,0.2037568600198943,0.3674910990551747,0.1367591715141303
60s_30s,Boosting,TEMP-only,0.6670870113493065,0.3227087737932466,0.6760036664440753,0.095707964184806,0.3536082987953152,0.1276798774607998
60s_30s,Boosting,EDA-only,0.6986128625472888,0.3345313036491986,0.7075713151425327,0.1030049339491563,0.3499716460201678,0.1077101120420058
60s_30s,LR,ECG-only,0.4791929382093317,0.3925386699438598,0.4701409374621066,0.2512787591389052,0.3474875940403931,0.165548327979442
60s_30s,RF,TEMP-only,0.6443883984867591,0.3150284008912659,0.651344197112286,0.0939071370271553,0.3454381475612025,0.1161767903940402
60s_30s,LR,TEMP-only,0.3114754098360656,0.2635116148724483,0.3045393802417816,0.1643986403142799,0.2291661053952946,0.1231206653998807
60s_30s,SVM,EDA-only,0.2585119798234552,0.2596962115974959,0.2669315883435426,0.1896412820459917,0.2240441227499991,0.1361072851668311
60s_30s,SVM,TEMP-only,0.3366960907944514,0.2727933589497507,0.3244929560523787,0.2369152366544654,0.2236902321602148,0.1614566507899629
60s_30s,LR,EDA-only,0.2572509457755359,0.2620663118123211,0.2373150363568075,0.1407271997016803,0.2098034111664031,0.1386960135842163
30s_15s,SVM,ECG+EDA+TEMP,0.58005698005698,0.4679500577722191,0.5807021502391134,0.1998493790980121,0.4469507034971491,0.1438887889908979
30s_15s,RF,ECG+EDA+TEMP,0.743019943019943,0.4806621284608706,0.7419646016981781,0.1209002225029548,0.4287997168223504,0.1300148833479416
30s_15s,Boosting,ECG+EDA+TEMP,0.6905982905982906,0.4857142754940843,0.6969139344810902,0.1316920671651419,0.4246077810934048,0.139945837664807
30s_15s,LR,ECG+EDA+TEMP,0.5333333333333333,0.4554118085230568,0.5182556976078112,0.2326632902657973,0.4209474810801281,0.176712405132007
30s_15s,Boosting,ECG-only,0.6923076923076923,0.467154257563649,0.7069441742926926,0.1413248500783621,0.3980246735110456,0.1516261388234599
30s_15s,RF,ECG-only,0.7054131054131054,0.4458782199716739,0.7166506773244373,0.1163878324867412,0.3914680186371997,0.1300537916438703
30s_15s,LR,EDA-only,0.588034188034188,0.4268658521232631,0.5810139243569648,0.1732826895433396,0.3913164972857929,0.1496438700656786
30s_15s,SVM,EDA-only,0.5487179487179488,0.4203205614434738,0.5598713919570428,0.2826758775963274,0.3903570539904349,0.2078810511344679
