model_name,feature_set_name,accuracy,macro_f1,n_train_windows,n_test_windows
Boosting,ECG+EDA+TEMP,0.9308176100628931,0.8940522017645947,634,159
RF,ECG+EDA+TEMP,0.9245283018867925,0.8843629126743383,634,159
Boosting,ECG+EDA+TEMP-expanded,0.9182389937106918,0.8626529080365907,634,159
RF,ECG+EDA+TEMP-expanded,0.8930817610062893,0.8231070825431028,634,159
Boosting,ECG-only-expanded,0.8867924528301887,0.8036506800286327,634,159
SVM,ECG+EDA+TEMP-expanded,0.779874213836478,0.7744539411206078,634,159
RF,ECG-only-expanded,0.8742138364779874,0.7584345479082321,634,159
LR,ECG+EDA+TEMP-expanded,0.7295597484276729,0.7158050825791277,634,159
SVM,ECG+EDA+TEMP,0.7295597484276729,0.7032598546665043,634,159
SVM,ECG-only-expanded,0.7232704402515723,0.7016458548134571,634,159
SVM,ECG-only,0.7232704402515723,0.6369087529368156,634,159
Boosting,EDA-only,0.8238993710691824,0.6366013071895426,634,159
Boosting,ECG-only,0.7987421383647799,0.6276029791761666,634,159
RF,EDA-only,0.8113207547169812,0.6181139122315593,634,159
RF,TEMP-only,0.7861635220125787,0.6130756477196803,634,159
Boosting,EDA-only-expanded,0.8050314465408805,0.6091106143737722,634,159
LR,ECG-only-expanded,0.6477987421383647,0.5915972091663011,634,159
RF,ECG-only,0.7924528301886793,0.5879357069432763,634,159
LR,ECG+EDA+TEMP,0.6289308176100629,0.5670498084291188,634,159
RF,EDA-only-expanded,0.8113207547169812,0.5657756813417191,634,159
LR,ECG-only,0.6163522012578616,0.5317812269031781,634,159
SVM,EDA-only-expanded,0.6037735849056604,0.5136481089969462,634,159
Boosting,TEMP-only,0.7610062893081762,0.4982905982905983,634,159
LR,EDA-only-expanded,0.5534591194968553,0.4239121196668367,634,159
LR,EDA-only,0.3710691823899371,0.37222744593457713,634,159
SVM,TEMP-only,0.42138364779874216,0.3710070929490854,634,159
LR,TEMP-only,0.37735849056603776,0.32927514019322207,634,159
SVM,EDA-only,0.2830188679245283,0.3162837624020402,634,159
