feature,importance
eda_scl_mean,0.2998893728861825
rr_mean_ms,0.1267373746522562
temp_max,0.08402791418552416
temp_min,0.08284414476755818
hr_mean,0.08200956737837732
rmssd_ms,0.04365915162080955
temp_slope_per_min,0.04302315829052248
temp_mean,0.0407134658701086
pnn50,0.03542206780002406
ecg_quality_score,0.03399025661120004
eda_phasic_std,0.030102768782730983
temp_std,0.027683989396288577
eda_scr_density,0.024500020398868366
sdnn_ms,0.02038934198131071
eda_scr_count,0.014875464603924497
eda_scr_amplitude_mean,0.010131940774313682
eda_quality_score,0.0
temperature_quality_score,0.0
