window_config,model_name,baseline_feature_set,expanded_feature_set,baseline_subject_macro_f1_mean,expanded_subject_macro_f1_mean,delta_subject_macro_f1_mean
60s/30s,SVM,EDA-only,EDA-only-expanded,0.2240441227499991,0.4146951780825953,0.19065105533259621
60s/30s,LR,EDA-only,EDA-only-expanded,0.2098034111664031,0.3793299917872474,0.1695265806208443
60s/30s,LR,ECG+EDA+TEMP,ECG+EDA+TEMP-expanded,0.4038348419127626,0.520590712916713,0.1167558710039504
60s/30s,Boosting,EDA-only,EDA-only-expanded,0.34997164602016784,0.3983611027569434,0.04838945673677558
60s/30s,SVM,ECG+EDA+TEMP,ECG+EDA+TEMP-expanded,0.36440754532120334,0.4063754682459572,0.041967922924753875
60s/30s,LR,ECG-only,ECG-only-expanded,0.3518750980819047,0.3745043675465861,0.022629269464681412
60s/30s,RF,ECG+EDA+TEMP,ECG+EDA+TEMP-expanded,0.43335074602361073,0.45349129045902425,0.02014054443541352
60s/30s,SVM,ECG-only,ECG-only-expanded,0.37614354048871296,0.3904830683852113,0.014339527896498339
60s/30s,RF,ECG-only,ECG-only-expanded,0.42049353742898077,0.4178863030034593,-0.0026072344255214652
60s/30s,RF,EDA-only,EDA-only-expanded,0.41133992301399736,0.3854251023144608,-0.025914820699536545
60s/30s,Boosting,ECG-only,ECG-only-expanded,0.4075456284531272,0.37719494781829216,-0.030350680634835037
60s/30s,Boosting,ECG+EDA+TEMP,ECG+EDA+TEMP-expanded,0.4687067230133409,0.4138819115648368,-0.054824811448504096
