model_name,feature_set_name,accuracy,macro_f1,subject_accuracy_mean,subject_accuracy_std,subject_macro_f1_mean,subject_macro_f1_std
LR,ECG+EDA+TEMP-expanded,0.5864583333333333,0.5110286572441447,0.5816051259025308,0.1951121973693443,0.46936298239224944,0.14824882760184557
SVM,EDA-only-expanded,0.6647569444444444,0.4912164658770956,0.6651044979859131,0.08376098068766907,0.46643636174428355,0.12378313597629907
RF,ECG+EDA+TEMP-expanded,0.7789930555555555,0.5022875020590339,0.7827992726028838,0.06114976693989543,0.4618446080371772,0.10852098576082778
LR,EDA-only,0.6637152777777777,0.46503523003566327,0.6642386688791354,0.10141627098730034,0.45312233588022194,0.14513815743193492
RF,ECG+EDA+TEMP,0.7467013888888889,0.48005465865321084,0.7458188478161181,0.10650694708492645,0.4462660564775744,0.127226842738161
SVM,ECG+EDA+TEMP-expanded,0.5876736111111112,0.49333743666301316,0.5836176186397501,0.18787075121908248,0.4444118096128413,0.12663806214198203
LR,EDA-only-expanded,0.6175347222222223,0.47985948484462754,0.61695512469084,0.049333016251010886,0.44296221131531094,0.09853378895614491
Boosting,ECG+EDA+TEMP,0.7286458333333333,0.50478658842139,0.7294354864264475,0.08378111178833701,0.4394862505540535,0.1310664839998796
RF,EDA-only-expanded,0.7611111111111111,0.43988288535117553,0.7644494303412838,0.041717665559599965,0.4386341397879216,0.09317860332781726
Boosting,ECG+EDA+TEMP-expanded,0.7239583333333334,0.47753729698171266,0.7298874461972054,0.11005247657607733,0.432007756477569,0.11122514033114775
LR,ECG+EDA+TEMP,0.5442708333333334,0.45776749003762296,0.5342604089456138,0.18675211435323646,0.4251114984407826,0.15300833131312505
Boosting,EDA-only-expanded,0.7397569444444444,0.41686713105331497,0.7436499022180937,0.04976160461993004,0.41957444339889666,0.10666721626382923
RF,ECG-only-expanded,0.7421875,0.44053010916728425,0.7500845154977249,0.09675702322900422,0.41945750141010535,0.11355291555994357
SVM,EDA-only,0.6190972222222222,0.4179109228532461,0.6231469180475137,0.22656525556198676,0.41581114039153666,0.1681091575245512
SVM,ECG+EDA+TEMP,0.5413194444444445,0.44677934477287445,0.5440616061441975,0.17410989027057214,0.41010112130730053,0.10821027663826094
Boosting,ECG-only-expanded,0.6873263888888889,0.4556364571944691,0.695012786691161,0.12080498844105822,0.4093488857821646,0.1041488201147162
RF,ECG-only,0.7041666666666667,0.4410687292475832,0.7129287505205724,0.10566612543211105,0.3942170862030141,0.09866843257193456
SVM,ECG-only,0.5319444444444444,0.41464851030060274,0.5249638585384251,0.19863983855349204,0.37871366703867787,0.1268971744364818
LR,ECG-only-expanded,0.49635416666666665,0.4154928390472845,0.49707991798387235,0.2223861688929917,0.37566533997944807,0.1489550220512319
Boosting,ECG-only,0.7038194444444444,0.43336110999707383,0.7139830006183311,0.13264396912935222,0.3730923596869369,0.11738181744996976
RF,EDA-only,0.6588541666666666,0.35000660160874447,0.6653759312053372,0.13357446686421318,0.3709953981257536,0.10294930861762225
SVM,ECG-only-expanded,0.5053819444444444,0.3821586273857583,0.5014878899598016,0.22430635439856816,0.3659941122171763,0.16725601128544218
LR,ECG-only,0.4951388888888889,0.39631931522471114,0.4881426478840931,0.2180605936307981,0.36239321862979634,0.1485859408519389
Boosting,EDA-only,0.6855902777777778,0.3370825416678835,0.689820138935701,0.09948561905598338,0.35286115304343135,0.09134132182308662
RF,TEMP-only,0.5975694444444445,0.32201470110057734,0.6012670089863471,0.11476292454154705,0.3222357513997279,0.07947382385090614
Boosting,TEMP-only,0.6569444444444444,0.3165540258677682,0.6620163408060361,0.10328857142859821,0.31859254185411057,0.07557319430146718
LR,TEMP-only,0.3741319444444444,0.32871810497586273,0.3699526166615049,0.134582774143684,0.30055174105810245,0.09347840210488645
SVM,TEMP-only,0.3428819444444444,0.3071646936495299,0.33653713495578175,0.1901780337732085,0.27878110224758856,0.15189699596479558
