feature,importance
eda_scl_mean,0.0840250954168521
temp_mean,0.05556194096450052
temp_min,0.05361762743581958
temp_max,0.05204098652171551
eda_tonic_std,0.04950904056775191
ecg_kurtosis,0.04517604606289685
rr_mean_ms,0.043499994433167
eda_scr_area,0.04200982420168434
median_hr,0.03803691568476224
ecg_mean_frequency,0.037649357850520794
rr_max_ms,0.03554752492715165
median_rr_ms,0.035290327830132154
eda_phasic_max,0.03500889449724086
hr_mean,0.034772690314185666
ecg_skewness,0.0334990758118004
ecg_fft_entropy,0.032994120664729995
eda_phasic_std,0.03233572769983012
ecg_zero_crossing_rate,0.03212915746604929
ecg_std,0.026913013366354772
eda_tonic_slope,0.01566205403210523
rr_min_ms,0.014570304240590965
eda_mean_frequency,0.014148399076343422
pnn20,0.009379785435454969
rmssd_ms,0.009257463024626043
temp_slope_per_min,0.009205045820794894
temp_std,0.00902912005912288
hr_std,0.008344555905977052
sdsd_ms,0.00826070071422068
eda_scr_amplitude_max,0.008257290019421323
sdnn_ms,0.008257271836286691
pnn50,0.008200628892036179
rr_std_ms,0.0074777743996405225
eda_scr_count,0.007240097476285047
eda_phasic_kurtosis,0.006742527476416533
ecg_quality_score,0.006716751470556727
eda_nld,0.006621068110363371
eda_scr_amplitude_mean,0.00637432198845854
ecg_mean,0.006019474579616976
eda_fft_entropy,0.00601407235496193
eda_phasic_mean,0.005797993347142318
eda_phasic_skewness,0.005619572140164319
eda_zero_crossing_rate,0.004286411214161995
eda_scr_amplitude_std,0.004080879042161194
eda_scr_density,0.0034287997601381683
temperature_quality_score,0.0013902758658063028
eda_quality_score,0.0
